Domaine;Competence;Nature;Type
Conception projet recherche en Innovation collaborative & territoirial;Conception des projet de Recherche et développement, d’études et prospective;Sci;Recherche et Innovation
Conception projet recherche en Innovation collaborative & territoirial;Développer de nouvelles méthodes quantitatives et qualitatives pour des projets de recherche en Innovation;Sci;Recherche et Innovation
Conception projet recherche en Innovation collaborative & territoirial;Réaliser les outils numériques exploitant les nouvelles méthodes;Sci;Recherche et Innovation
Conception projet recherche en Innovation collaborative & territoirial;Development de méthodes de management ciblés pour les espaces de innovation collaborative et tieurs-lieux;Sci;Espaces d'Innovation collaborative
Conception projet recherche en Innovation collaborative & territoirial;Development de méthodes pour piloter des projets de developpement territorial;Sci;Conceptualisation de projects d'Innovation territorial  & Smart City
Créativité et gestion des connaissances;Conception des projet de recherche sur la Créativité et géneration des idées;Sci;Créativité
Créativité et gestion des connaissances;Developement et implementation des methodologies de Innovation collaborative;Sci;Open Innovation
Data management & AI;Utilisation et dévelopment des méthodologies de  modélisation des systèmes multi-agents;Sci;Théorie des systèmes intelligentes
Data management & AI;Dévelopement des algortimes d'apprentisage automatique;Sci;Alogritmes d'Apprentissage
Data management & AI;Implementation des machines virtuels, basse des donnés et réseau d'information;Sci;Base de donnés
Environnement immersives et Realité virtuelle;Development des protocoles de performance sur les ICE;Sci;Theorie sur Environment collaboratifs e immersives spaces
Evaluation par l'usage;Development de méthodologies et des protocoles d'évaluation de nouvelle produits / filière en model living lab;Sci;Living lab
Veille technologique;Réalisation de la veille technologique sur les avances de procédés de matérialisation et protoypage en open source;Sci;Veille technologique
Créativité et gestion des connaissances;Animation d'ateliers de Créativité et Innovation stratégique;Tech;Créativité
Créativité et gestion des connaissances;Conception et utilisation des outils support (numeriques et physiques) pour des ateliers de Créativité et Innovation;Tech;Créativité
Créativité et gestion des connaissances;Utilisation de méthodes agiles de collaboration pour development projets e workshops;Tech;Open Innovation
Créativité et gestion des connaissances;Utilisation des support numeriques pour presentation et slection des idées;Tech;Fiches Idées
Data management & AI;Concevoir l'architecture et le fonctionnement du système d'information;Tech;Système d'information
Data management & AI;Gérer la réalisation de système d'information selon la methode agile;Tech;Système d'information
Data management & AI;Concevoir l'experience utilisateur ( réalisation et evaluation de maquette);Tech;Système d'information
